Skewness,Crest_Factor,Kurtosis,RMS,Power,P2Pamp,Periodicity,Noise,Broken_bars-1x,Broken_bars-2x,Broken_bars-3x,Eccentricity-1x,Eccentricity-3x,Eccentricity-5x,cage_winding-3x,Inner_race-1x,Outer_race-1x,bearing_cage-3x,BPF-1x,batch_type,Load
0.0,791.0852,1.3533,1.0672,1.139,3.15,2.9964,1.0672317350230849,56.57592346073261,49.029051406494034,45.45166951994307,11.034377891395927,11.74003242401932,14.089556609977333,36.78368531926645,48.11523781337827,45.950645049309784,59.703819515498964,48.35732287206716,healthy,05
0.0,791.0852,1.3533,1.0672,1.139,3.15,2.9964,1.0672317350230849,56.72821813437574,49.29453734874576,45.65842863337546,13.530052274856786,15.55066471418581,16.20860344518794,37.09501212436361,48.38888366413897,46.18696483202464,59.894082291534765,47.485575647010904,healthy,05
0.001,1022.5988,1.3521,1.0716,1.1483,3.1583,2.9964,1.0715686684246237,56.76377479799119,49.23063583241036,45.46822937551687,12.441986214648324,13.656673752389718,14.9201729616689,39.8455359250875,48.22143371106034,46.087323390759124,59.92370910201321,47.691942906304135,healthy,05
0.001,1022.5988,1.3521,1.0716,1.1483,3.1583,2.9964,1.0715686684246237,56.72632357227816,49.15524953527638,45.37074765376029,12.286602217154584,13.710583887346669,13.525725527644763,39.19788497415082,48.152159849856226,46.04151902196639,59.87619911779875,48.335889235820304,healthy,05
0.001,1022.5988,1.3521,1.0716,1.1483,3.1583,2.9964,1.0715686684246237,56.93577538758163,49.26433691101792,45.31533418648017,21.787296937333537,22.494499635917467,24.153491887033052,37.38150436541228,48.29552919270436,46.04246437478004,60.02043301720575,46.63385483427986,healthy,05
0.0016,926.8719,1.3559,1.0669,1.1384,3.1625,2.9964,1.0669430337019756,57.00826893530018,49.4406098011559,45.76327205079285,12.095109591012903,12.845315446560136,15.462881315288332,36.96263109337414,48.58389656611392,46.43261213037712,60.12609608778249,46.90990115736322,healthy,05
0.0016,926.8719,1.3559,1.0669,1.1384,3.1625,2.9964,1.0669430337019756,56.906074845466854,49.29767392179973,45.36711564021114,21.21944567541332,22.13666153856633,24.240393435068412,34.87432557218702,48.315464942624715,46.044076391007124,60.07100780410239,45.660549872062894,healthy,05
0.0016,926.8719,1.3559,1.0669,1.1384,3.1625,2.9964,1.0669430337019756,57.16791707668553,49.66437553638851,45.967260926935936,14.745575215563004,16.227881626669763,18.198666976980746,38.42934438950084,48.762249183571114,46.53978263894314,60.27745595944721,45.191743113923735,healthy,05
0.0007,1098.9958,1.3516,1.0697,1.1442,3.1541,2.9964,1.069675977248173,57.25545424524195,49.651666577744464,45.882403506856605,21.051865825865683,22.42106804070182,24.186050301988672,32.40246401168306,48.711884047357444,46.39924237991373,60.393857334545345,46.48065578664786,healthy,05
0.0007,1098.9958,1.3516,1.0697,1.1442,3.1541,2.9964,1.069675977248173,57.1839729689097,49.621220631522604,46.004897108972784,13.085483948863303,15.431249292613309,15.741027493715887,36.88864119502286,48.70880776197462,46.51246934310355,60.35736798678957,48.25466638039678,healthy,05
